1000
866 858
872 334
654 147
930 525
686 830
770 306
872 985
1084 957
398 354
942 10
824 229
154 240
480 425
218 62
626 702
952 955
180 662
952 6
444 872
572 131
522 154
836 884
234 850
958 218
664 212
160 150
824 363
346 263
234 491
370 148
958 221
704 537
144 56
216 828
238 371
434 655
886 308
1012 567
122 590
184 77
558 970
846 352
942 120
938 714
668 246
174 297
496 361
748 83
730 351
840 91
926 319
152 466
282 244
1060 467
1012 25
846 489
824 859
440 756
1092 104
662 875
710 679
950 141
268 592
754 792
772 969
110 636
792 384
558 490
726 844
814 332
348 649
890 27
264 672
190 314
728 326
834 118
968 183
828 341
186 64
600 458
274 152
716 621
652 393
456 434
676 289
268 109
906 507
402 72
608 622
898 617
964 817
220 348
452 311
836 313
578 281
124 210
552 949
272 539
288 438
178 793
690 574
240 156
968 960
856 933
1034 823
302 286
294 171
904 149
734 677
1084 140
404 245
612 243
702 9
660 990
672 684
982 532
830 468
478 71
988 886
338 54
980 665
558 624
162 659
334 167
294 356
642 5
1062 469
450 60
518 630
954 976
234 383
812 463
1094 701
806 242
272 998
1030 512
712 981
466 475
538 382
348 946
156 889
842 365
564 904
758 729
106 902
138 868
640 217
836 979
516 174
530 207
780 718
398 216
692 76
546 165
336 521
590 472
792 233
1002 73
942 85
210 509
858 177
1076 731
628 457
556 632
782 44
800 849
486 317
100 474
168 660
628 866
348 737
928 188
1074 347
812 101
586 406
1082 559
554 898
830 103
818 562
972 194
964 208
202 35
974 641
556 144
650 762
914 536
1048 359
342 614
816 789
890 967
158 888
574 176
570 938
686 557
736 493
956 431
386 97
122 374
956 758
158 690
652 613
908 391
986 197
626 270
326 201
176 732
312 829
780 671
908 719
736 777
356 198
476 899
838 851
934 648
934 487
1092 386
748 261
586 232
1040 78
466 196
1080 945
1098 249
644 433
550 747
388 587
280 130
110 388
378 654
1008 499
672 48
438 339
264 464
184 742
1028 330
494 202
114 515
810 963
708 915
796 778
322 881
344 139
756 634
698 501
786 387
592 251
236 287
780 773
944 643
722 519
720 19
310 8
702 448
422 84
560 972
856 717
710 715
740 163
572 153
988 712
352 269
144 975
1030 404
516 733
932 369
664 734
616 992
948 315
374 746
224 673
348 853
300 669
172 450
1004 436
898 802
858 837
200 178
1036 735
242 610
1046 53
362 420
862 419
960 350
966 656
888 206
420 403
426 816
498 892
1062 186
898 522
1092 605
1018 640
646 579
726 965
436 647
480 411
290 179
952 459
1032 517
268 882
780 959
280 282
468 128
852 456
184 593
972 290
314 426
990 106
612 794
458 910
936 51
874 358
924 877
796 325
444 395
418 921
118 820
772 546
520 324
784 994
274 250
512 848
702 437
526 160
844 653
742 445
610 554
738 931
298 482
542 709
908 12
978 409
722 608
980 477
434 357
510 524
556 219
354 948
400 943
1068 151
416 277
940 344
548 595
944 366
638 612
892 407
262 925
360 670
268 305
684 755
1044 328
444 962
800 566
350 878
870 791
544 115
698 710
380 835
184 745
896 658
526 127
696 618
480 611
148 307
280 568
518 300
262 164
738 781
772 639
564 838
410 799
1088 905
108 594
858 939
638 52
646 125
652 36
800 49
610 993
820 804
384 132
258 209
868 534
1086 503
510 279
342 495
234 540
108 204
326 11
1022 833
608 241
752 412
618 87
988 59
504 952
504 481
112 275
668 772
142 576
784 181
836 883
156 298
478 299
844 825
916 542
1016 569
1096 397
172 172
716 461
606 195
596 827
706 974
766 675
366 716
396 47
880 248
608 860
234 577
592 322
836 687
158 876
100 102
192 402
676 907
694 635
598 337
1080 497
706 310
166 126
826 142
1094 570
606 129
884 385
472 408
350 698
404 26
1092 800
1050 492
476 609
414 479
558 893
972 372
1020 763
928 89
942 257
1020 651
708 606
156 843
154 523
200 180
596 276
212 751
904 368
688 405
494 111
498 329
186 986
178 589
104 415
956 845
906 591
